word,importance
action,0.027340060109470536
conflict,0.02654547523879974
world,0.024111434015749257
team,0.02369563049949573
dice,0.023317293792723508
people,0.021249991380539266
played,0.020633434196770124
victory,0.01800530834153218
draw,0.015663671100767884
europe,0.014199280396971754
bringing,0.013940750892857555
decide,0.013925534921904292
piece,0.013148635291226974
point,0.012742987524384075
play,0.012596035724281897
card,0.01239507747209748
secret,0.012312443622283495
existing,0.012258469555738255
drawing,0.011562137585579743
possible,0.011502285178652703
secure,0.011365036289169683
game end,0.010883091728733864
humanity,0.010677542512301028
choose,0.010567810640002269
modern age,0.010292341115223766
upgraded,0.009963285603750883
exploration,0.009881321874064241
era,0.009740853363786682
great,0.009667756103588616
town,0.009628280613760596
