,weight_class,word,coefficient
0,Heavy,company,1.1150208783138218
1,Heavy,wine,1.050879128108522
2,Heavy,factory,0.9512986293740713
3,Heavy,age,0.776053288331819
4,Heavy,new,0.7433714628282885
5,Heavy,economic,0.623361614718308
6,Heavy,class,0.6025069929059546
7,Heavy,invention,0.5999247985253355
8,Heavy,sie,0.5926253656299059
9,Heavy,energy,0.5862010669274905
10,Heavy,island,0.5835991394785879
11,Heavy,progress,0.5614463254385589
12,Heavy,die,0.5607702317840585
13,Heavy,party,0.5529878440519909
14,Heavy,machine,0.5484219141576447
15,Heavy,century,0.543918685181746
16,Heavy,technology,0.5321508921491609
17,Heavy,trade,0.5281579434510448
18,Heavy,society,0.5160901146248188
19,Heavy,powerful,0.5027078901619423
20,Heavy,modern,0.4866988848299833
21,Heavy,driven,0.4828045868697018
22,Heavy,mage knight,0.4791739812234686
23,Heavy,renaissance,0.4740068807244155
24,Heavy,military,0.4732974640578235
25,Medium,building,1.2745906578373862
26,Medium,dragon,1.0626173672885249
27,Medium,quest,1.0004493209475902
28,Medium,deck,0.9643433854485589
29,Medium,scenario,0.7643936524658753
30,Medium,villain,0.7600495560908699
31,Medium,glory,0.7173893893375055
32,Medium,tile,0.6922607090752562
33,Medium,combination,0.6781985236249916
34,Medium,treasure,0.6607399834884587
35,Medium,legend,0.6607168217036673
36,Medium,card,0.6511375278093509
37,Medium,robot,0.6308545052568383
38,Medium,viking,0.6255308510429254
39,Medium,defeat,0.6221980236598322
40,Medium,settlement,0.6199842465172053
41,Medium,empire,0.6089328042832204
42,Medium,disease,0.6043905718788242
43,Medium,unique,0.6026710088780854
44,Medium,phase,0.5782856656125182
45,Medium,game description,0.5699468749199356
46,Medium,castle,0.568792469193729
47,Medium,kingdom,0.5681531451799549
48,Medium,battlefield,0.5515845001732816
49,Medium,special power,0.5478869543472351
50,Medium Heavy,action,1.4631705881417767
51,Medium Heavy,worker,1.2578335994720922
52,Medium Heavy,great,0.9855884997741388
53,Medium Heavy,god,0.9352137318383987
54,Medium Heavy,nation,0.9273869966218883
55,Medium Heavy,civilization,0.9214766969821342
56,Medium Heavy,conflict,0.8964074203445144
57,Medium Heavy,wall,0.8871604849409773
58,Medium Heavy,war,0.8686000219764426
59,Medium Heavy,ship,0.7921418199535731
60,Medium Heavy,journey,0.7572396447345251
61,Medium Heavy,arkham,0.7178334871891501
62,Medium Heavy,cube,0.7120692071884742
63,Medium Heavy,colony,0.7072279360377675
64,Medium Heavy,order,0.6990039162151083
65,Medium Heavy,good,0.6983294128695847
66,Medium Heavy,work,0.693449410672695
67,Medium Heavy,year,0.6909620428064804
68,Medium Heavy,strength,0.6869866993425605
69,Medium Heavy,ancient,0.6866173753396324
70,Medium Heavy,government,0.6822589239643438
71,Medium Heavy,invest,0.6617449634517186
72,Medium Heavy,main,0.6388181068305243
73,Medium Heavy,important,0.6375480600803315
74,Medium Heavy,industry,0.6319421738250334
75,Medium Light,card,1.7463979534975076
76,Medium Light,guess,1.3425058359828161
77,Medium Light,score,1.012926922938743
78,Medium Light,team,0.9351217086101887
79,Medium Light,point,0.9267781007877225
80,Medium Light,piece,0.9245459700141412
81,Medium Light,car,0.9037051935636857
82,Medium Light,bet,0.8662343540590607
83,Medium Light,word,0.8617084768724386
84,Medium Light,chip,0.8379609391830588
85,Medium Light,win,0.8336057392357032
86,Medium Light,dice,0.7594854980838954
87,Medium Light,answer,0.7555113728680966
88,Medium Light,trick,0.7456488274938077
89,Medium Light,sushi,0.7422079669738679
90,Medium Light,clue,0.7414625651507277
91,Medium Light,number,0.7395024440386667
92,Medium Light,werewolf,0.7068166989452405
93,Medium Light,road,0.7042665273076402
94,Medium Light,face,0.7016124093306141
95,Medium Light,draw,0.6982966215930361
96,Medium Light,sheriff,0.6799095281075856
97,Medium Light,race,0.6768537403490748
98,Medium Light,camel,0.66634282277592
99,Medium Light,case,0.6447436122633989
